Date,Holiday,Description
1/1/2025,New Year's Day,New Year celebration
1/14/2025,Makara Sankranti,Hindu festival
3/14/2025,Holi,Festival of colors
3/31/2025,Ramazan,End of Ramadan
4/18/2025,Good Friday,Christian holiday
5/1/2025,May Day,Labor Day
8/15/2025,Independence Day,Indian Independence Day
8/27/2025,Ganesh Chathurthi,Hindu festival
9/5/2025,Milad-un-Nabi,Islamic holiday
10/2/2025,Gandhi Jayanti,Gandhi's birthday
10/20/2025,Diwali,Festival of lights
12/25/2025,Christmas,Christmas celebration
